"trackId","n.pts","mean.pts.height.adapted","sd.pts.height.adapted","mean.dur.height.adapted","sd.dur.height.adapted"
"Bembo.Sparky...DER.AU891..eobs.3042.4",1886,267.275700672105,370.474438474066,262.188670866307,365.9869695319
"Bembo.Sparky...DER.AU891..eobs.3042.6",1260,198.514532805549,167.15793261468,179.209751684053,159.673451951599
"Bembo.Sparky...DER.AU891..eobs.3042.7",0,NA,NA,0,0
"Elfie...DER.AU860..eobs.4408.3",2114,286.704392010013,239.131899190485,268.332515893842,231.556865278502
"Elfie...DER.AU860..eobs.4408.4",1020,195.361609711741,178.519564894341,185.755531407039,176.325966058737
"Elfie...DER.AU860..eobs.4408.5",1390,188.924501937208,155.442165279681,179.219832422904,149.15272096414
"Elfie...DER.AU860..eobs.4408.6",1178,165.389901748942,133.983614464077,159.729607178389,128.813474303074
"Loriana..A3M19..e.obs.7990.6",220,167.482035016147,183.362575707942,166.782305050081,182.156969263077
"Spoerlein.Reisen.2....DER.AT899..eobs.2665.3",1728,288.617395753772,979.590612945358,267.239250246668,925.034468610512
"all",10796,236.437891713298,450.616825759788,221.74245655809,432.265834805482
