"trackId","height_threshold","n.loc","prop.locs","prop.dur"
"Bembo.Sparky...DER.AU891..eobs.3042.4",100,360,0.187012987012987,0.188604427467141
"Bembo.Sparky...DER.AU891..eobs.3042.4",200,1021,0.53038961038961,0.530181497019899
"Bembo.Sparky...DER.AU891..eobs.3042.4",300,1332,0.691948051948052,0.689984538977802
"Bembo.Sparky...DER.AU891..eobs.3042.4",400,1536,0.797922077922078,0.796816009314116
"Bembo.Sparky...DER.AU891..eobs.3042.4",500,1668,0.866493506493507,0.86610570129874
"Bembo.Sparky...DER.AU891..eobs.3042.6",100,331,0.256191950464396,0.315970786220247
"Bembo.Sparky...DER.AU891..eobs.3042.6",200,823,0.636996904024768,0.687685338114144
"Bembo.Sparky...DER.AU891..eobs.3042.6",300,1031,0.797987616099071,0.825988824849312
"Bembo.Sparky...DER.AU891..eobs.3042.6",400,1138,0.880804953560371,0.897885960666989
"Bembo.Sparky...DER.AU891..eobs.3042.6",500,1195,0.924922600619195,0.935542698754895
"Bembo.Sparky...DER.AU891..eobs.3042.7",100,0,NA,NA
"Bembo.Sparky...DER.AU891..eobs.3042.7",200,0,NA,NA
"Bembo.Sparky...DER.AU891..eobs.3042.7",300,0,NA,NA
"Bembo.Sparky...DER.AU891..eobs.3042.7",400,0,NA,NA
"Bembo.Sparky...DER.AU891..eobs.3042.7",500,0,NA,NA
"Elfie...DER.AU860..eobs.4408.3",100,405,0.191489361702128,0.207162420561184
"Elfie...DER.AU860..eobs.4408.3",200,1052,0.497399527186761,0.544363360870007
"Elfie...DER.AU860..eobs.4408.3",300,1352,0.639243498817967,0.673516403306745
"Elfie...DER.AU860..eobs.4408.3",400,1591,0.752245862884161,0.776915820373638
"Elfie...DER.AU860..eobs.4408.3",500,1768,0.835933806146572,0.852235200853636
"Elfie...DER.AU860..eobs.4408.4",100,302,0.295499021526419,0.346126196167741
"Elfie...DER.AU860..eobs.4408.4",200,688,0.673189823874755,0.69743279681165
"Elfie...DER.AU860..eobs.4408.4",300,824,0.806262230919765,0.820267064789246
"Elfie...DER.AU860..eobs.4408.4",400,909,0.889432485322896,0.897702631847597
"Elfie...DER.AU860..eobs.4408.4",500,957,0.936399217221135,0.940571131117488
"Elfie...DER.AU860..eobs.4408.5",100,401,0.285816108339273,0.25991954039895
"Elfie...DER.AU860..eobs.4408.5",200,965,0.687811831789023,0.718989596197234
"Elfie...DER.AU860..eobs.4408.5",300,1149,0.81895937277263,0.836468462777658
"Elfie...DER.AU860..eobs.4408.5",400,1259,0.89736279401283,0.907241660041533
"Elfie...DER.AU860..eobs.4408.5",500,1325,0.944404846756949,0.949930684135141
"Elfie...DER.AU860..eobs.4408.6",100,388,0.327426160337553,0.295161145660563
"Elfie...DER.AU860..eobs.4408.6",200,909,0.767088607594937,0.792368651607512
"Elfie...DER.AU860..eobs.4408.6",300,1032,0.870886075949367,0.884732473381501
"Elfie...DER.AU860..eobs.4408.6",400,1108,0.935021097046413,0.940831274543792
"Elfie...DER.AU860..eobs.4408.6",500,1139,0.961181434599156,0.964530794433996
"Loriana..A3M19..e.obs.7990.6",100,96,0.436363636363636,0.432899176770861
"Loriana..A3M19..e.obs.7990.6",200,178,0.809090909090909,0.811079389312103
"Loriana..A3M19..e.obs.7990.6",300,193,0.877272727272727,0.87858314623673
"Loriana..A3M19..e.obs.7990.6",400,201,0.913636363636364,0.914503816793588
"Loriana..A3M19..e.obs.7990.6",500,205,0.931818181818182,0.932480167639334
"Spoerlein.Reisen.2....DER.AT899..eobs.2665.3",100,311,0.177815894797027,0.176622538229203
"Spoerlein.Reisen.2....DER.AT899..eobs.2665.3",200,979,0.559748427672956,0.610146475341705
"Spoerlein.Reisen.2....DER.AT899..eobs.2665.3",300,1254,0.716981132075472,0.749227267803944
"Spoerlein.Reisen.2....DER.AT899..eobs.2665.3",400,1443,0.825042881646655,0.843634718301614
"Spoerlein.Reisen.2....DER.AT899..eobs.2665.3",500,1547,0.884505431675243,0.897149984470689
"mean",100,9,0.269701890067927,0.277808278934486
"mean",200,9,0.645214455202965,0.674030888159282
"mean",300,9,0.777442588231881,0.794846022765367
"mean",400,9,0.861433564503971,0.871941486485358
"mean",500,9,0.910707378166242,0.91731829533799
"sd",100,9,0.0875162009126593,0.0878186027015022
"sd",200,9,0.111298778612512,0.104968723132371
"sd",300,9,0.0859717122586776,0.0812736901795019
"sd",400,9,0.0630989041208002,0.0592997194997291
"sd",500,9,0.0434633744946675,0.0408142015487748
